## map version 1

## rectangles:
## w: wall

## ovals:
## s: start/spwan
## c: checkpoint
## h: hole

##	x1	y1	x2	y2

## Frame
# f1
w	0	0	800	20
# f2
w	0	460	800	480
# f3
w	0	20	20	460
# f4
w	780	20	800	460

## Walls
# w1
w	50	20	60	60
# w2
w	90	20	100	60
# w3
w	20	90	130	100
# w4
w	150	50	170	60
# w5
w	170	50	180	140
# w6
w	210	20	220	90
# w7
w	50	140	210	150
# w8
w	210	120	220	170
# w9
w	210	120	270	130
# w10
w	260	50	270	120
# w11
w	90	150	100	290
# w12
w	20	220	50	230
# w13
w	50	220	60	310
# w14
w	90	290	180	300
# w15
w	130	200	140	290
# w16
w	170	240	180	290
# w17
w	140	200	330	210
# w18
w	20	350	180	360
# w19
w	20	420	80	430
# w20
w	110	390	120	460
# w21
w	210	240	220	460
# w22
w	220	270	350	280
# w23
w	260	320	390	330
# w24
w	250	370	480	380
# w25
w	250	410	380	420
# w26
w	370	380	380	410
# w27
w	420	410	430	460
# w28
w	460	410	470	460
# w29
w	470	420	530	430
# w30
w	570	420	620	430
# w31
w	610	370	620	420
# w32
w	570	390	580	420
# w33
w	510	380	580	390
# w34
w	510	310	520	380
# w35
w	470	310	480	370
# w36
w	430	310	440	370
# w37
w	470	300	520	310
# w38
w	490	250	500	300
# w39
w	380	240	390	320
# w40
w	340	240	350	270
# w41
w	390	260	450	270
# w42
w	450	250	460	270
# w43
w	360	170	370	210
# w44
w	220	160	480	170
# w45
w	300	120	310	160
# w46
w	310	120	440	130
# w47
w	310	80	450	90
# w48
w	300	20	310	90
# w49
w	340	20	350	50
# w50
w	380	20	390	50
# w51
w	450	50	460	90
# w52
w	490	20	500	100
# w53
w	690	20	700	90
# w54
w	560	50	620	60
# w55
w	620	50	630	120
# w56
w	630	80	660	90
# w57
w	730	60	740	120
# w58
w	570	120	740	130
# w59
w	620	130	630	210
# w60
w	570	160	620	170
# w61
w	530	100	540	240
# w62
w	430	210	530	220
# w63
w	530	240	670	250
# w64
w	660	160	670	240
# w65
w	700	160	710	210
# w66
w	740	160	750	210
# w67
w	710	200	740	210
# w68
w	700	240	780	250
# w69
w	550	250	560	280
# w70
w	550	280	580	290
# w71
w	610	280	780	290
# w72
w	570	290	580	320
# w73
w	570	320	700	330
# w74
w	690	330	700	410
# w75
w	730	330	740	410
# w76
w	650	360	660	460
# w77
w	690	410	740	420

## Holes
# h1
h	25	25	45	45
# h2
h	105	25	125	45
# h3
h	145	115	165	135
# h4
h	185	115	205	135
# h5
h	235	95	255	115
# h6
h	225	135	245	155
# h7
h	185	155	205	175
# h8
h	105	155	125	175
# h9
h	65	155	85	175
# h10
h	25	195	45	215
# h11
h	25	235	45	255
# h12
h	105	265	125	285
# h13
h	145	265	165	285
# h14
h	95	325	115	345
# h15
h	155	365	175	385
# h16
h	25	395	45	415
# h17
h	125	435	145	455
# h18
h	395	435	415	455
# h19
h	435	435	455	455
# h20
h	475	435	495	455
# h21
h	345	385	365	405
# h22
h	405	345	425	365
# h23
h	445	345	465	365
# h24
h	395	275	415	295
# h25
h	225	285	245	305
# h26
h	225	245	245	265
# h27
h	315	245	335	265
# h28
h	445	225	465	245
# h29
h	375	175	395	195
# h30
h	315	135	335	155
# h31
h	445	115	465	135
# h32
h	425	55	445	75
# h33
h	315	25	335	45
# h34
h	355	25	375	45
# h35
h	500	25	520	45
# h36
h	755	25	775	45
# h37
h	635	55	655	75
# h38
h	665	75	685	95
# h39
h	595	95	615	115
# h40
h	595	135	615	155
# h41
h	675	165	695	185
# h42
h	715	175	735	195
# h43
h	595	175	615	195
# h44
h	505	185	525	205
# h45
h	545	215	565	235
# h46
h	525	255	545	275
# h47
h	565	255	585	275
# h48
h	755	255	775	275
# h49
h	755	295	775	315
# h50
h	485	315	505	335
# h51
h	525	355	545	375
# h52
h	625	375	645	395
# h53
h	705	385	725	405
# h54
h	585	395	605	415
# h55
h	755	435	775	455
